Repository name,File name,Lines added,Lines removed,Commits,File size (Bytes)
3DS_Quick_Reboot,Makefile,180,1,2,6911
ansible-role-composer,tests/Makefile,16,2,2,498
ansible-role-phpstorm,tests/Makefile,14,0,1,498
ansible-softwareraid,Makefile,19,5,2,269
ArduinoDevel,example/yourproject_with_lib_makefile/Makefile,11,0,1,384
ArduinoDevel,example/yourproject_makefile/Makefile,11,0,1,384
avian-pack,Makefile,455,194,40,8525
avian-pack,android/external/expat/amiga/Makefile,336,0,1,10427
aws-ha-deployment-example,Makefile,13,1,4,382
colorselector.vim,Makefile,332,0,1,10467
consul-http-router,Makefile,91,39,6,1890
coreos-and-consul-cluster-via-terraform,Makefile,43,0,1,1098
coreos-stack-bootstrap,container-image-src/logrotate/Makefile,32,2,3,841
coreos-stack-bootstrap,container-image-src/zookeeper/Makefile,29,9,4,534
coreos-stack-bootstrap,container-image-src/vulcand/Makefile,25,1,2,707
coreos-stack-bootstrap,container-image-src/confluent/Makefile,12,0,1,283
coreos-stack-bootstrap,container-image-src/skydns/Makefile,21,0,1,512
coreos-stack-bootstrap,container-image-src/influxdb/Makefile,19,0,1,499
coreos-stack-bootstrap,container-image-src/syslog_kafka/Makefile,21,0,1,567
coreos-stack-bootstrap,container-image-src/statsdaemon/Makefile,21,0,1,542
coreos-stack-bootstrap,container-image-src/sysinfo_influxdb/Makefile,21,0,1,591
coreos-stack-bootstrap,container-image-src/logstash/Makefile,21,1,2,510
coreos-stack-bootstrap,visible/Makefile,442,219,17,12210
coreos-stack-bootstrap,Makefile,135,86,7,1939
Coverflow,Makefile,333,0,1,20597
CS100.1x,Makefile,10,0,1,278
Debian-Live-config,webconverger/Makefile,299,194,85,4419
Dell-XPS13-9333-DSDT-Patch,Makefile,420,176,24,9932
dev-helper-cmds,Makefile,36,19,6,347
DFA-SPEC,Makefile,11,4,3,85
DistributionTests,Makefile,110,5,3,2409
dockerfiles,passenger-ree/Makefile,17,3,3,179
dockerfiles,transmission/Makefile,15,3,4,280
dockerfiles,passenger/Makefile,11,1,3,115
dockerfiles,php-mysql/Makefile,17,2,3,182
dockerfiles,Makefile,21,1,2,284
dockerfiles,softether/Makefile,24,0,1,322
dockerfiles,postgres/Makefile,31,7,7,455
dockerfiles,btsync/Makefile,11,0,1,104
dockerfiles,base/Makefile,12,1,3,141
dockerfiles,vsftpd/Makefile,22,0,1,278
dockerfiles,hosting/Makefile,8,0,1,104
docker-sauce-connect,Makefile,32,2,2,588
docs-automation,Makefile,83,4,3,2181
dokku-wordpress-template,Makefile,101,26,8,2025
dve-docker,mysqlclustermgmd/Makefile,3,1,2,56
dve-docker,mysqlclusterndbd/Makefile,3,1,2,54
dve-docker,mysqlclustermgm/Makefile,3,1,2,55
dve-docker,mysqlclustermysqld/Makefile,3,1,2,54
dve-docker,mysqlclusterbase/Makefile,3,1,2,52
erlang-starter-kit,Makefile,484,230,11,7443
excelsior,Makefile,237,0,1,6799
fecompressor.vim,Makefile,376,0,1,11353
fpff,spec/Makefile,68,0,1,1838
function-patcher-example,Makefile,230,8,2,8999
ghc-llvm-next,Makefile,124,47,20,2014
GitForBeginners,Makefile,66,37,7,751
glisy,Makefile,71,19,8,995
glisy,examples/Makefile,24,3,4,343
golang-alpine-docker,Makefile,16,0,1,278
Golang-Makefile,example/Makefile,76,9,3,1492
Golang-Makefile,Makefile,77,10,4,1476
grampa,Makefile,211,5,4,4793
IPFS_Demo,Makefile,6,0,1,171
kafka-rpm,Makefile,121,42,7,2376
last-makefile,Makefile,198,10,3,6350
lazymake,examples/shared_lib/Makefile,11,0,1,282
lazymake,examples/exec_commands/Makefile,16,0,1,502
lazymake,examples/main_deliverable/Makefile,10,0,1,268
libpng16-deb,Makefile,82,17,11,2014
make4docker,Makefile,96,55,9,795
makefile-example,Makefile,55,2,3,1382
marriage,Makefile,16,0,1,335
Mission_Statement,Makefile,5,0,2,185
MPlayerX-Localization,1.0.7/Makefile,69,0,1,1856
MPlayerX-Localization,1.0.22.1/Makefile,63,0,1,1650
MPlayerX-Localization,1.0.12/Makefile,61,0,1,1581
MPlayerX-Localization,1.0.2/Makefile,61,0,1,1581
MPlayerX-Localization,1.0.10/Makefile,61,0,1,1581
MPlayerX-Localization,1.0.17/Makefile,63,0,1,1650
MPlayerX-Localization,1.0.20/Makefile,63,0,1,1650
MPlayerX-Localization,1.0.16/Makefile,63,0,1,1650
MPlayerX-Localization,1.0.8/Makefile,61,0,1,1581
MPlayerX-Localization,1.0.4/Makefile,61,0,1,1581
MPlayerX-Localization,1.1.4/Makefile,63,0,1,1650
MPlayerX-Localization,1.0.14/Makefile,63,0,1,1650
MPlayerX-Localization,1.1.1/Makefile,63,0,1,1650
MPlayerX-Localization,1.0.18/Makefile,63,0,1,1650
MPlayerX-Localization,1.0.3/Makefile,61,0,1,1581
MPlayerX-Localization,1.0.21/Makefile,63,0,1,1650
MPlayerX-Localization,1.0.1/Makefile,61,0,1,1581
MPlayerX-Localization,1.0.5/Makefile,69,0,2,1856
MPlayerX-Localization,1.0.19/Makefile,63,0,1,1650
MPlayerX-Localization,1.1.3/Makefile,63,0,1,1650
MPlayerX-Localization,1.0.6/Makefile,69,0,1,1856
MPlayerX-Localization,1.0.11/Makefile,61,0,1,1581
MPlayerX-Localization,1.0.15/Makefile,63,0,1,1650
MPlayerX-Localization,1.0.0/Makefile,47,0,1,921
MPlayerX-Localization,1.0.22/Makefile,63,0,1,1650
MPlayerX-Localization,1.0.13/Makefile,64,1,2,1650
MPlayerX-Localization,1.1.2/Makefile,63,0,1,1650
MPlayerX-Localization,1.0.9/Makefile,61,0,1,1581
MPlayerX-Localization,1.1.0/Makefile,63,0,1,1650
nanofont,Makefile,19,1,2,375
nomad-intro,consul/Makefile,55,6,3,1576
nomad-intro,nomad/Makefile,51,11,4,1379
notes,Makefile,22,4,2,395
ofxTraerPhysics,example-Attractor/Makefile,2,0,1,107
ofxTraerPhysics,example-SpringGrid/Makefile,2,0,1,107
OpenELEC-Odroid,Makefile,70,43,24,334
p3atGazeboRos,Makefile,1,0,1,41
p3atGazeboRos,build/gtest/Makefile,248,0,1,8755
p3atGazeboRos,build/Makefile,540,0,2,18263
pegex-pgx,Makefile,66,51,17,415
Perl-Critic-Jed,Makefile,145,9,3,4402
ppx_type_conv,Makefile,105,87,8,300
quotes,Makefile,32,3,4,484
realtime,Makefile,59,28,6,745
ROP-Loader,source/arm9/Makefile,127,0,1,5166
ROP-Loader,source/Makefile,37,0,1,1296
ROP-Loader,source/arm7/Makefile,126,0,1,4893
rpi-gogs-raspbian,Makefile,40,0,1,1583
scaleway-coreos,Makefile,20,0,1,556
setup-resistant,Makefile,17,0,1,655
sped-docs,Makefile,38,0,1,949
SpringBoard-Dumps,Makefile,51,16,11,1011
stacki-kubernetes,src/cfssl/Makefile,33,0,1,834
stacki-kubernetes,src/flanneld/Makefile,44,0,2,1126
stacki-kubernetes,src/etcd/Makefile,44,1,3,1113
stacki-kubernetes,src/kubernetes-client/Makefile,63,0,1,2724
stacki-kubernetes,src/Makefile,72,0,1,2487
stacki-kubernetes,src/kubernetes-images/Makefile,65,0,1,2579
stacki-kubernetes,src/kubernetes-extras/Makefile,68,5,2,2595
stacki-kubernetes,src/spreadsheets/Makefile,18,4,2,351
stacki-kubernetes,src/kubernetes-server/Makefile,70,6,2,2528
stacki-kubernetes,Makefile,61,1,2,2550
steam-flatpak,Makefile,10,0,1,245
tf_aws_mesos,mesos_master/Makefile,2,0,1,11
tf_aws_mesos,adminlb/Makefile,2,0,1,11
tf_aws_mesos,elb/Makefile,2,0,1,11
tf_aws_mesos,Makefile,2,0,1,11
tf_aws_mesos,mesos_slave/Makefile,2,0,1,11
tf_aws_mesos,lb/Makefile,2,0,1,11
tf_aws_mesos,dns/Makefile,2,0,1,11
the-ooc-language,Makefile,107,27,12,2019
tlspretense-service,Makefile,32,1,2,1338
uosv,osv_hack/Makefile,71,0,1,2126
uosv,userdata/Makefile,10,3,3,124
vim-arduino,templates/Makefile,313,3,3,10243
webpush-protocol,Makefile,501,492,36,238
webrtc-ios,Makefile,95,58,5,1033
westraining-R,intro-to-R/src/Makefile,16,9,10,256

Repository,Files,Repository size (Bytes),Sum File size (Bytes),Repository age (EPOCH)
3DS_Quick_Reboot,1,3756032,6911,1421589183
ansible-role-composer,1,327680,498,1405076776
ansible-role-phpstorm,1,282624,498,1405882272
ansible-softwareraid,1,274432,269,1418210724
ArduinoDevel,2,4784128,768,1327052706
avian-pack,2,3870720,18952,1395578883
aws-ha-deployment-example,1,10510336,382,1436104818
colorselector.vim,1,729088,10467,1267250657
consul-http-router,1,282624,1890,1427110514
coreos-and-consul-cluster-via-terraform,1,598016,1098,1420017859
coreos-stack-bootstrap,12,5558272,19735,1403962359
Coverflow,1,557056,20597,1390806411
CS100.1x,1,794624,278,1434278868
Debian-Live-config,1,68030464,4419,1190025051
Dell-XPS13-9333-DSDT-Patch,1,12029952,9932,1405272124
dev-helper-cmds,1,282624,347,1418403333
DFA-SPEC,1,2043904,85,1473154296
DistributionTests,1,1327104,2409,1476084819
dockerfiles,11,11165696,2444,1380368846
docker-sauce-connect,1,704512,588,1423166240
docs-automation,1,569344,2181,1443097293
dokku-wordpress-template,1,8826880,2025,1418383720
dve-docker,5,749568,271,1402317137
erlang-starter-kit,1,3481600,7443,1301412885
excelsior,1,344064,6799,1250523600
fecompressor.vim,1,704512,11353,1297743189
fpff,1,2359296,1838,1520192648
function-patcher-example,1,483328,8999,1470758876
ghc-llvm-next,1,241664,2014,1444797501
GitForBeginners,1,872448,751,1333000040
glisy,2,827392,1338,1442188143
golang-alpine-docker,1,372736,278,1429446513
Golang-Makefile,2,274432,2968,1483443113
grampa,1,487424,4793,1458431281
IPFS_Demo,1,782336,171,1507299290
kafka-rpm,1,684032,2376,1379515274
last-makefile,1,344064,6350,1437170541
lazymake,3,573440,1052,1291155194
libpng16-deb,1,675840,2014,1410449124
make4docker,1,663552,795,1493225915
makefile-example,1,1548288,1382,1439358993
marriage,1,315392,335,1418699110
Mission_Statement,1,770048,185,1413354345
MPlayerX-Localization,29,379387904,47118,1296524633
nanofont,1,278528,375,1413540483
nomad-intro,2,1290240,2955,1449453411
notes,1,3117383680,395,1392804583
ofxTraerPhysics,2,226750464,214,1361612142
OpenELEC-Odroid,1,270974976,334,1237377773
p3atGazeboRos,3,9134080,27059,1380807159
pegex-pgx,1,356352,415,1281603913
Perl-Critic-Jed,1,18251776,4402,1391041947
ppx_type_conv,1,376832,300,1443196232
quotes,1,1863680,484,1332362735
realtime,1,573440,745,1367829269
ROP-Loader,3,2068480,11355,1387389240
rpi-gogs-raspbian,1,475136,1583,1435627274
scaleway-coreos,1,245760,556,1458815593
setup-resistant,1,245760,655,1430682030
sped-docs,1,507904,949,1454092816
SpringBoard-Dumps,1,3502080,1011,1383378294
stacki-kubernetes,10,50532352,18887,1485208921
steam-flatpak,1,618496,245,1490046451
tf_aws_mesos,7,507904,77,1424354280
the-ooc-language,1,352256,2019,1280070525
tlspretense-service,1,487424,1338,1428371019
uosv,2,335872,2250,1384314206
vim-arduino,1,643072,10243,1312602157
webpush-protocol,1,1458176,238,1403308739
webrtc-ios,1,434176,1033,1415947757
westraining-R,1,9900032,256,1453923051
Total,151
